                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0076,                0.77686,                 1.1775,                0.91341,                0.85943,                0.87501,                0.57713,                 1.0737,                0.77973,                 1.3639,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0636,                0.81148,                 1.2254,                0.94867,                0.77359,                0.85417,                0.61384,                 1.0014,                0.75781,                 1.2873,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.0203,                0.80355,                 1.2128,                0.90051,                0.82037,                0.86312,                0.64865,                0.93903,                0.74673,                 1.2431,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0016,                0.81121,                 1.1823,                0.87063,                0.84564,                0.87875,                 0.6411,                0.94244,                0.73558,                 1.2327,             0.00071504,             0.00071504,             0.00071504
                     39,                0.99314,                0.74613,                 1.1935,                0.86071,                0.81069,                0.81095,                0.59712,                 1.0019,                0.71901,                 1.3078,             0.00070404,             0.00070404,             0.00070404
                     40,                 0.9784,                0.74685,                 1.1812,                 0.9604,                0.84162,                0.87413,                0.63671,                0.94562,                0.72248,                 1.2471,             0.00069304,             0.00069304,             0.00069304
                     41,                0.98034,                0.76332,                 1.1841,                0.89742,                0.81854,                0.83121,                0.61153,                0.96797,                0.74178,                 1.2353,             0.00068204,             0.00068204,             0.00068204
                     42,                0.98493,                0.75633,                 1.1889,                0.93573,                0.83398,                0.87857,                0.64297,                 1.0211,                0.80924,                 1.3144,             0.00067104,             0.00067104,             0.00067104
                     43,                0.98099,                0.73108,                 1.1738,                0.92328,                0.82178,                 0.8549,                0.64758,                0.91828,                0.68962,                 1.2102,             0.00066005,             0.00066005,             0.00066005
                     44,                0.96551,                0.71175,                 1.1723,                0.80629,                 0.8257,                 0.8122,                0.59933,                 1.0036,                0.82955,                  1.294,             0.00064905,             0.00064905,             0.00064905
                     45,                0.96462,                0.74355,                 1.1766,                0.93315,                0.75423,                0.78586,                0.59216,                0.97434,                0.72906,                 1.2543,             0.00063805,             0.00063805,             0.00063805
                     46,                 0.9532,                0.72957,                 1.1691,                0.89745,                0.77933,                0.81272,                0.62973,                0.94133,                0.90501,                 1.2408,             0.00062705,             0.00062705,             0.00062705
                     47,                0.97474,                0.76261,                 1.1757,                0.95434,                0.83968,                0.86273,                0.65274,                0.96308,                0.71693,                 1.2485,             0.00061605,             0.00061605,             0.00061605
                     48,                0.97442,                 0.7144,                 1.1681,                 0.9044,                0.81884,                0.82698,                0.63581,                0.96061,                 0.6837,                  1.237,             0.00060505,             0.00060505,             0.00060505
                     49,                0.94696,                 0.7052,                 1.1441,                0.73353,                0.81661,                0.78887,                0.60244,                0.90694,                0.78322,                 1.2132,             0.00059405,             0.00059405,             0.00059405
                     50,                0.93737,                0.69601,                 1.1412,                0.86043,                 0.8257,                0.84648,                0.63604,                0.98871,                0.77751,                 1.2797,             0.00058305,             0.00058305,             0.00058305
                     51,                0.95737,                0.68059,                 1.1561,                0.94308,                0.81426,                0.86598,                0.64794,                 0.9071,                0.72901,                 1.1965,             0.00057205,             0.00057205,             0.00057205
                     52,                0.92679,                0.67058,                 1.1469,                0.85991,                0.80046,                0.81609,                0.59393,                 1.0427,                 0.7616,                 1.2819,             0.00056105,             0.00056105,             0.00056105
                     53,                0.93044,                0.66232,                 1.1443,                0.91492,                0.80805,                0.82694,                0.62643,                0.93436,                0.71044,                 1.2315,             0.00055006,             0.00055006,             0.00055006
                     54,                0.92059,                 0.6654,                  1.132,                0.88181,                0.77116,                0.81587,                0.62911,                0.91769,                 0.7394,                 1.1966,             0.00053906,             0.00053906,             0.00053906
                     55,                0.91084,                0.65516,                 1.1501,                 0.9282,                0.81684,                0.83253,                0.63994,                0.93564,                0.65993,                 1.2272,             0.00052806,             0.00052806,             0.00052806
                     56,                0.92267,                0.70018,                 1.1233,                0.90163,                0.78875,                0.80734,                0.63476,                0.90741,                0.68684,                 1.1782,             0.00051706,             0.00051706,             0.00051706
                     57,                0.91276,                0.62153,                 1.1215,                0.93437,                0.81854,                0.81694,                0.62871,                0.94193,                0.65707,                  1.216,             0.00050606,             0.00050606,             0.00050606
                     58,                0.93742,                0.65315,                 1.1514,                0.94235,                 0.8091,                0.82377,                0.63372,                  0.926,                0.63783,                 1.2091,             0.00049506,             0.00049506,             0.00049506
                     59,                0.91722,                0.64693,                 1.1278,                0.89351,                0.78845,                0.81854,                0.62165,                0.96849,                0.69788,                 1.2579,             0.00048406,             0.00048406,             0.00048406
                     60,                0.89342,                0.62841,                 1.1198,                0.92419,                0.81439,                0.83359,                0.64667,                0.91783,                0.65955,                 1.1963,             0.00047306,             0.00047306,             0.00047306
                     61,                0.89448,                0.61354,                 1.1118,                0.91512,                0.80583,                0.81747,                0.63654,                0.91505,                0.62856,                 1.2128,             0.00046206,             0.00046206,             0.00046206
                     62,                0.89157,                0.60068,                 1.0963,                 0.9381,                0.77821,                0.81901,                0.64356,                0.91505,                0.67595,                  1.213,             0.00045107,             0.00045107,             0.00045107
                     63,                0.89207,                0.62218,                 1.1212,                0.91878,                0.81484,                0.82737,                0.65379,                0.91948,                 0.6489,                  1.214,             0.00044007,             0.00044007,             0.00044007
                     64,                 0.9288,                0.61785,                  1.126,                0.91592,                0.81706,                0.81409,                0.63113,                0.89925,                0.64019,                 1.1907,             0.00042907,             0.00042907,             0.00042907
                     65,                0.94145,                0.62865,                 1.1346,                0.93072,                0.81651,                0.81178,                0.62288,                0.93573,                0.59428,                 1.2181,             0.00041807,             0.00041807,             0.00041807
                     66,                0.87181,                0.60331,                 1.0989,                0.84643,                0.81564,                0.81483,                0.63548,                0.92809,                0.62111,                 1.2193,             0.00040707,             0.00040707,             0.00040707
                     67,                0.87818,                0.60974,                 1.0924,                0.89492,                 0.7989,                0.81773,                0.63483,                0.95897,                0.64373,                 1.2481,             0.00039607,             0.00039607,             0.00039607
                     68,                0.87132,                0.58292,                 1.0978,                0.92814,                0.79698,                0.81567,                0.64359,                 0.8733,                0.66329,                 1.1654,             0.00038507,             0.00038507,             0.00038507
                     69,                0.88816,                0.60453,                 1.1016,                0.87948,                0.84877,                 0.8441,                0.61418,                0.95084,                0.60923,                 1.2232,             0.00037407,             0.00037407,             0.00037407
                     70,                0.90571,                0.62538,                 1.1151,                0.87325,                0.84558,                0.84276,                0.60151,                 1.0229,                0.69348,                 1.2781,             0.00036307,             0.00036307,             0.00036307
                     71,                0.85718,                0.56733,                 1.0715,                0.92155,                0.81484,                0.81113,                0.63696,                0.93211,                 0.6251,                 1.2042,             0.00035208,             0.00035208,             0.00035208
                     72,                 0.8732,                0.58705,                 1.0965,                0.84619,                0.81572,                0.82093,                0.64113,                0.96665,                0.63068,                 1.2326,             0.00034108,             0.00034108,             0.00034108
                     73,                0.87184,                0.58282,                 1.0921,                0.90428,                0.81808,                0.81729,                0.61572,                0.96057,                0.58925,                 1.2326,             0.00033008,             0.00033008,             0.00033008
                     74,                0.84468,                0.54899,                 1.0848,                0.94897,                0.81333,                0.81587,                 0.6376,                0.90102,                0.57537,                 1.1776,             0.00031908,             0.00031908,             0.00031908
                     75,                0.83879,                0.56883,                 1.0815,                0.92024,                0.80189,                0.81213,                0.63444,                0.93628,                 0.6277,                 1.2086,             0.00030808,             0.00030808,             0.00030808
                     76,                0.84973,                0.56773,                 1.0785,                0.92848,                0.81641,                0.81544,                0.63769,                0.93816,                0.63839,                 1.2098,             0.00029708,             0.00029708,             0.00029708
                     77,                0.87976,                0.60461,                 1.1053,                0.93289,                0.81493,                0.81884,                0.62745,                0.94398,                0.56183,                 1.2145,             0.00028608,             0.00028608,             0.00028608
                     78,                0.84591,                0.54191,                 1.0787,                0.94182,                0.81377,                0.81768,                0.61804,                 0.9939,                0.61612,                 1.2413,             0.00027508,             0.00027508,             0.00027508
                     79,                0.85838,                0.57602,                 1.0984,                0.91265,                0.81006,                0.81562,                0.62615,                0.98999,                0.60281,                 1.2501,             0.00026408,             0.00026408,             0.00026408
                     80,                0.82883,                0.54649,                 1.0726,                0.94144,                0.81872,                 0.8191,                0.63477,                0.93445,                0.56532,                 1.2075,             0.00025309,             0.00025309,             0.00025309
                     81,                0.85323,                0.56597,                 1.0864,                0.93547,                0.80205,                0.81598,                0.63349,                0.91011,                0.56894,                 1.1892,             0.00024209,             0.00024209,             0.00024209
                     82,                0.83566,                0.55933,                 1.0829,                0.92284,                0.80478,                0.81294,                0.63952,                0.91474,                0.58578,                 1.1868,             0.00023109,             0.00023109,             0.00023109
                     83,                0.84211,                0.54874,                 1.0895,                0.92326,                0.81484,                0.81574,                0.62714,                0.95015,                0.59989,                 1.2316,             0.00022009,             0.00022009,             0.00022009
                     84,                0.82536,                 0.5325,                 1.0682,                0.92157,                 0.8129,                0.82119,                0.63565,                0.94293,                0.59793,                 1.2222,             0.00020909,             0.00020909,             0.00020909
